rownb	customerkey	customer_name	customer_country	customer_city	customer_postalcode	customer_street	plantkey	full_address	latitude	longitude
1	1	O'Hara-MacGyver	Germany	Hamburg	22041	36 Westport Court	4	36 Westport Court 22041 Hamburg Germany	53.580526	10.063393
2	2	Smitham, Lind and Lindgren	Germany	München	81679	934 Shelley Lane	4	934 Shelley Lane 81679 München Germany	40.60404074	-77.20138827
3	3	Becker-Heller	Germany	Halle	6116	7576 Browning Terrace	4	7576 Browning Terrace 6116 Halle Germany	39.22053868	-83.38632051
4	4	Runolfsdottir Inc	Germany	Essen	45141	862 Gateway Center	4	862 Gateway Center 45141 Essen Germany	51.4472383	7.00125525
5	5	Hoppe Group	Germany	Hamburg Sankt Pauli	20459	69815 Ridgeview Center	4	69815 Ridgeview Center 20459 Hamburg Sankt Pauli Germany	53.54625695	9.95990965
6	6	Pouros-Reinger	Germany	Wuppertal	42285	29 Bowman Point	4	29 Bowman Point 42285 Wuppertal Germany	51.2761	7.202683
7	7	Schaden-Kessler	Germany	Dresden	1189	54135 Lake View Parkway	4	54135 Lake View Parkway 1189 Dresden Germany	39.9981812	-82.02292213
8	8	Barrows-Volkman	Belgium	Ninove	9404	78761 Hintze Point	4	78761 Hintze Point 9404 Ninove Belgium	50.84870455	4.32078645
9	9	Schulist, Green and Kessler	Germany	Dresden	1462	15723 Bartillon Lane	4	15723 Bartillon Lane 1462 Dresden Germany	51.05099106	13.73363304
10	10	Windler-Daniel	Germany	Köln	51149	4719 Sycamore Hill	4	4719 Sycamore Hill 51149 Köln Germany	40.15269871	-74.97142616
11	11	Champlin and Sons	Germany	Hamburg	20249	74595 Kinsman Point	4	74595 Kinsman Point 20249 Hamburg Germany	53.58962631	9.98966408
12	12	Quitzon, Walter and Kessler	Germany	München	80337	6608 Brickson Park Street	4	6608 Brickson Park Street 80337 München Germany	48.12700272	11.5596571
13	13	Murray, Bahringer and Armstrong	Germany	Cottbus	3055	437 Packers Park	4	437 Packers Park 3055 Cottbus Germany	51.56302125	13.892538
14	14	Gutkowski, White and Beatty	Germany	Freiburg im Breisgau	79106	22 Melvin Trail	4	22 Melvin Trail 79106 Freiburg im Breisgau Germany	47.9991	7.839344
15	15	Monahan-Rau	Germany	Hamburg Sankt Pauli	20459	6 Becker Point	4	6 Becker Point 20459 Hamburg Sankt Pauli Germany	53.547362	9.977899
16	16	Kunze-Nikolaus	Germany	Hannover	30453	79 Nevada Trail	4	79 Nevada Trail 30453 Hannover Germany	52.409473	9.666428
17	17	Veum, Mante and Will	Belgium	Namur	5100	95 Coolidge Court	4	95 Coolidge Court 5100 Namur Belgium	50.4224499	4.8677507
18	18	Jast-West	Germany	München	80995	370 7th Parkway	4	370 7th Parkway 80995 München Germany	48.211619	11.529123
19	19	Quigley, Schamberger and O'Keefe	Germany	Lübeck	23568	94466 Menomonie Plaza	4	94466 Menomonie Plaza 23568 Lübeck Germany	53.88766098	10.79603767
20	20	Dooley Group	Germany	Kassel	34132	87424 Bunker Hill Place	4	87424 Bunker Hill Place 34132 Kassel Germany	40.4692639	-76.91121312
21	21	Kris-Deckow	Germany	Hannover	30167	87 6th Pass	4	87 6th Pass 30167 Hannover Germany	52.393027	9.709749
22	22	Sawayn-Langosh	Germany	Stuttgart	70374	8274 Badeau Court	4	8274 Badeau Court 70374 Stuttgart Germany	48.81684494	9.25130081
23	23	Lockman, Anderson and Aufderhar	Belgium	Bouillon	6834	815 Lotheville Park	4	815 Lotheville Park 6834 Bouillon Belgium	49.83944321	5.11235952
24	24	Dach-Hauck	Germany	Frankfurt am Main	60325	43077 North Terrace	4	43077 North Terrace 60325 Frankfurt am Main Germany	50.11549377	8.65886974
